country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
ISR,besitzt,wix,unterteilt sich in,wixmp,trackt mittels,cdn
GBR,besitzt,brandwatch,unterteilt sich in,crimsonhexagon_com,trackt mittels,site_analytics
FRA,besitzt,adotmob,unterteilt sich in,adotmob.com,trackt mittels,advertising
USA,besitzt,blueconic,unterteilt sich in,blueconic.net,trackt mittels,site_analytics
USA,besitzt,microsoft,unterteilt sich in,linkedin_widgets,trackt mittels,social_media
USA,besitzt,infolinks,unterteilt sich in,infolinks,trackt mittels,advertising
JPN,besitzt,rakuten,unterteilt sich in,rakuten_globalmarket,trackt mittels,advertising
USA,besitzt,conviva,unterteilt sich in,conviva,trackt mittels,site_analytics
USA,besitzt,walkme,unterteilt sich in,walkme.com,trackt mittels,customer_interaction
USA,besitzt,microsoft,unterteilt sich in,sharepoint,trackt mittels,customer_interaction
USA,besitzt,amazon_associates,unterteilt sich in,amazon_payments,trackt mittels,customer_interaction
USA,besitzt,33across,unterteilt sich in,33across,trackt mittels,advertising
GER,besitzt,plista,unterteilt sich in,plista,trackt mittels,advertising
USA,besitzt,iovation,unterteilt sich in,iovation,trackt mittels,essential
USA,besitzt,ibm,unterteilt sich in,the_weather_company,trackt mittels,advertising
USA,besitzt,oracle,unterteilt sich in,eloqua,trackt mittels,advertising
USA,besitzt,simpli.fi,unterteilt sich in,simpli.fi,trackt mittels,advertising
USA,besitzt,certona,unterteilt sich in,certona,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,bing_maps,trackt mittels,customer_interaction
RUS,besitzt,yandex,unterteilt sich in,adfox,trackt mittels,advertising
USA,besitzt,facebook,unterteilt sich in,atlas,trackt mittels,advertising
GER,besitzt,exactag,unterteilt sich in,exactag,trackt mittels,site_analytics
USA,besitzt,yottaa,unterteilt sich in,yottaa,trackt mittels,site_analytics
USA,besitzt,dataxu,unterteilt sich in,dataxu,trackt mittels,advertising
GER,besitzt,zalando,unterteilt sich in,zalando_de,trackt mittels,misc
USA,besitzt,wistia,unterteilt sich in,wistia,trackt mittels,site_analytics
USA,besitzt,google,unterteilt sich in,google_trusted_stores,trackt mittels,site_analytics
AUS,besitzt,atlassian,unterteilt sich in,statuspage.io,trackt mittels,customer_interaction
USA,besitzt,pardot,unterteilt sich in,pardot,trackt mittels,site_analytics
USA,besitzt,richrelevance,unterteilt sich in,richrelevance,trackt mittels,customer_interaction
GER,besitzt,soundcloud,unterteilt sich in,soundcloud,trackt mittels,audio_video_player
USA,besitzt,purch,unterteilt sich in,purch,trackt mittels,advertising
USA,besitzt,listrak,unterteilt sich in,listrak,trackt mittels,customer_interaction
JPN,besitzt,rakuten,unterteilt sich in,rakuten_display,trackt mittels,advertising
JPN,besitzt,rakuten,unterteilt sich in,linksynergy.com,trackt mittels,advertising
CAN,besitzt,stackadapt,unterteilt sich in,stackadapt,trackt mittels,advertising
BRA,besitzt,navegg,unterteilt sich in,navegg_dmp,trackt mittels,site_analytics
USA,besitzt,inbenta,unterteilt sich in,inbenta,trackt mittels,site_analytics
USA,besitzt,vox,unterteilt sich in,vox,trackt mittels,customer_interaction
USA,besitzt,iperceptions,unterteilt sich in,iperceptions,trackt mittels,customer_interaction
JPN,besitzt,freakout,unterteilt sich in,fout.jp,trackt mittels,advertising
CHN,besitzt,sina,unterteilt sich in,sina_cdn,trackt mittels,cdn
USA,besitzt,33across,unterteilt sich in,tynt,trackt mittels,advertising
USA,besitzt,yieldmo,unterteilt sich in,yieldmo,trackt mittels,advertising
USA,besitzt,liftigniter,unterteilt sich in,petametrics,trackt mittels,customer_interaction
RUS,besitzt,getintent,unterteilt sich in,getintent,trackt mittels,advertising
USA,besitzt,powerreviews,unterteilt sich in,powerreviews,trackt mittels,customer_interaction
USA,besitzt,apple,unterteilt sich in,itunes_link_maker,trackt mittels,advertising
USA,besitzt,ihs,unterteilt sich in,ihs_markit,trackt mittels,site_analytics
USA,besitzt,smaato,unterteilt sich in,smaato,trackt mittels,advertising
USA,besitzt,appsflyer,unterteilt sich in,appsflyer,trackt mittels,site_analytics
